"","initial_value"
"YIPF7",0.24
"FRYL",0.62
"RNF175",0.46
"LINC01097",0.21
"LINC01096",0.52
"FAM200B",0.45
"STPG2",0.21
"LOC285556",0.52
"LINC01019",0.19
"EFCAB9",0.14
"SH3PXD2B",0.74
"LOC285593",0.18
"FAM153A",0.29
"ARL10",0.45
"KIAA0825",0.46
"GPR150",0.44
"DTWD2",0.35
"RELL2",0.41
"NBPF22P",0.17
"LOC285626",0.12
"LOC285627",0.2
"LOC285628",0.57
"LOC285629",0.11
"C5orf51",0.28
"SLC36A3",0.39
"KIF4B",0.17
"OR2V2",0.28
"C5orf64",0.2
"RNF180",0.62
"SREK1IP1",0.77
"ZNF454",0.29
"C5orf60",0.12
"LOC285690",0.26
"LOC285692",0.25
"LOC285696",0.23
"LOC285697",0.22
"RGMB",0.76
"LINC00491",0.27
"LINC00326",0.26
"FLJ35700",0.17
"LOC285740",0.29
"CEP57L1",0.51
"PPIL6",0.51
"LINC01268",0.21
"FLJ34503",0.16
"DCBLD1",0.57
"LOC285762",0.12
"LOC285766",0.21
"LOC285768",0.22
"LY86-AS1",0.42
"CAGE1",0.29
"PACRG-AS1",0.24
"PRR18",0.3
"LOC285804",0.12
"LOC285812",0.79
"LOC285819",0.21
"SUMO2P1",0.35
"HLA-F-AS1",0.51
"HCG22",0.24
"LOC285835",0.55
"LOC285847",0.21
"PNPLA1",0.19
"COX6A1P2",0.1
"TREML4",0.34
"RPL7L1",0.87
"LOC285857",0.22
"POM121L12",0.25
"VSTM2A-OT1",0.22
"CNPY1",0.22
"LOC285889",0.2
"INTS4P1",0.22
"LINC00174",0.21
"C7orf71",0.23
"HOXA-AS2",0.53
"INHBA-AS1",0.22
"SPDYE1",0.57
"LOC285957",0.55
"SNHG15",0.76
"SEPT7P9",0.25
"WEE2-AS1",0.3
"EPHA1-AS1",0.21
"TCAF2",0.71
"ZNF775",0.66
"LINC00996",0.26
"ATG9B",0.52
"DLX6-AS1",0.3
"ZNF789",0.64
"SLC26A4-AS1",0.22
"LSMEM1",0.64
"TPI1P2",0.26
"FLJ40288",0.61
"FAM86B3P",0.27
"XKR6",0.45
"LOC286052",0.39
"NSMCE2",0.82
"LOC286058",0.18
"LOC286059",0.33
"LOC286063",0.28
"LOC286068",0.17
"LOC286071",0.24
"ZNF707",0.66
"BREA2",0.43
"FAM83H",0.62
"LOC286083",0.3
"LOC286087",0.17
"LINC01591",0.12
"MICU3",0.69
"ZNF252P",0.61
"TMED10P1",0.2
"ZNF252P-AS1",0.19
"CASC7",0.5
"LOC286114",0.22
"LOC286121",0.18
"C8orf31",0.22
"ZFP41",0.53
"SCARA5",0.56
"FAM183CP",0.21
"RNF5P1",0.16
"TRIQK",0.34
"DPY19L4",0.8
"FBXO43",0.48
"LOC286154",0.2
"PCBP2P2",0.2
"LOC286177",0.17
"NKAIN3",0.22
"LINC01289",0.17
"LINC01299",0.18
"PPP1R42",0.2
"C8orf34-AS1",0.24
"LACTB2-AS1",0.19
"LOC286191",0.12
"CRB2",0.22
"SCAI",0.6
"CFAP157",0.62
"C9orf47",0.32
"SPATA31E1",0.34
"LOC286238",0.24
"LOC286254",0.23
"LCN12",0.3
"C9orf142",0.65
"TPRN",0.42
"LOC286272",0.6
"LOC286297",0.2
"LCN1P1",0.1
"TUSC1",0.69
"FAM225A",0.49
"FAM78A",0.63
"LURAP1L",0.69
"LOC286359",0.23
"OR13C9",0.16
"OR13D1",0.19
"MIR4290HG",0.2
"FOXD4L3",0.18
"LOC286382",0.23
"ATP11C",0.73
"LINC00632",0.18
"MRRFP1",0.1
"H2BFM",0.23
"LOC286437",0.51
"LINC01281",0.18
"YIPF6",0.75
"CFAP47",0.22
"FIRRE",0.23
"RAC1P4",0.12
"UBE2E4P",0.11
"TTC3P1",0.11
"FAM133A",0.5
"EIF4A2P4",0.13
"MAGEB18",0.27
"TMSB15B",0.56
"SSU72P1",0.24
"P2RY8",0.3
"BCORP1",0.19
"RBMY1A3P",0.13
"ILDR1",0.69
"STON1-GTF2A1L",0.25
"TUSC5",0.46
"LIN9",0.37
"TRIM59",0.8
"CSN1S2AP",0.26
"KRT6C",0.4
"FAM223B",0.18
"TRIM42",0.25
"NOP14-AS1",0.38
"EIF4E3",0.76
"FAM149B1",0.61
"RFESD",0.61
"MAPK6PS3",0.1
"MAPK6PS1",0.1
"VN1R2",0.28
"VN1R3",0.38
"VN1R4",0.19
"VN1R5",0.31
"BPIFA4P",0.21
"KLHL10",0.35
"HMGN2P2",0.1
"DHRS4L2",0.45
"MESTIT1",0.1
"POTED",0.24
"ADAM20P1",0.12
"C14orf39",0.2
"CCDC85C",0.31
"HIST2H2AB",0.22
"DDX51",0.62
"ITPK1-AS1",0.62
"TTC6",0.23
"TAAR6",0.24
"KRT73",0.66
"SNORD8",0.19
"PPIAP6",0.11
"HNRNPCP1",0.1
"SNORD56B",0.14
"RPL21P10",0.1
"SRMP2",0.11
"SNRPGP1",0.1
"RPL22P2",0.48
"RPS18P2",0.1
"RPS24P2",0.4
"ZAR1",0.24
"ADGRE4P",0.16
"MT1DP",0.12
"MORF4L1P2",0.23
"PSMA3P",0.1
"RAB37",0.56
"MMAB",0.54
"PTMAP7",0.37
"SERPINA9",0.28
"PPM1J",0.62
"SNAI3",0.29
"HIST2H3A",0.16
"UBAC2",0.45
"HIST2H2BC",0.1
"HIST2H2BD",0.1
"HIST2H2BA",0.11
"CHSY3",0.53
"KRTAP7-1",0.29
"KRTAP8-1",0.21
"KRTAP11-1",0.3
"KRTAP19-1",0.26
"KRTAP13-2",0.24
"KRTAP13-3",0.2
"KRTAP23-1",0.19
"KRTAP6-1",0.19
"KRTAP6-2",0.21
"KRTAP6-3",0.22
"KRTAP19-2",0.2
"KRTAP19-3",0.45
"KRTAP19-4",0.19
"KRTAP19-5",0.2
"KRTAP19-6",0.23
"KRTAP19-7",0.2
"KRTAP20-1",0.19
"KRTAP20-2",0.23
"KRTAP21-1",0.24
"KRTAP21-2",0.26
"KRTAP22-1",0.2
"KRTAP8-3P",0.1
"KRTAP20-3",0.11
"LINC00524",0.14
"ST7-OT4",0.26
"FAM151A",0.34
"NLRP9",0.21
"NLRP10",0.32
"NLRP14",0.27
"S100A7A",0.5
"GPIHBP1",0.57
"CLEC4D",0.22
"IFNE",0.24
"RAB7B",0.64
"MRPS16P3",0.42
"TAS2R60",0.22
"TAS2R62P",0.11
"SNORD108",0.17
"SNORD109A",0.14
"SNORD109B",0.14
"BLACE",0.1
"ANO9",0.51
"HCAR2",0.21
"MESTP1",0.1
"FFAR4",0.22
"KCNK18",0.26
"ANKRD30BP3",0.25
"LINC00705",0.22
"ST8SIA6",0.31
"DUPD1",0.14
"LOC338620",0.74
"LUZP2",0.35
"KRTAP5-AS1",0.35
"KCNQ1-AS1",0.21
"CCDC84",0.77
"TMEM225",0.59
"OR8D4",0.21
"LOC338667",0.25
"OR5F1",0.19
"OR5AP2",0.19
"ANKRD13D",0.7
"LOC338694",0.16
"ANKRD42",0.32
"B4GALNT4",0.42
"CSTF3-AS1",0.15
"OR52L1",0.24
"OR2AG2",0.25
"LINC00936",0.65
"C1QL4",0.3
"TMEM119",0.36
"KRT79",0.19
"LOC338797",0.12
"LINC01089",0.34
"C12orf74",0.23
"FAM19A2",0.51
"LINC01252",0.23
"SLCO1B7",0.19
"LINC00550",0.17
"LINC00347",0.49
"RPS12P23",0.1
"C1QTNF9",0.21
"RNASE10",0.28
"VSX2",0.22
"TMEM202",0.29
"LOC338963",0.23
"WHAMMP3",0.45
"LOC339059",0.11
"PRSS53",0.33
"RAB43",0.63
"JMJD8",0.4
"FAM92B",0.24
"LOC339166",0.22
"TMEM95",0.31
"METTL2A",0.83
"CCDC144NL",0.18
"LOC339192",0.22
"ASB16-AS1",0.33
"C17orf67",0.44
"ENPP7",0.43
"OXLD1",0.51
"CCDC137",0.7
"ARL16",0.36
"KRT17P5",0.21
"LOC339260",0.6
"C17orf51",0.64
"MSL1",0.75
"LINC00667",0.61
"LRRC30",0.19
"LOC339298",0.25
"CPLX4",0.21
"ZNF181",0.25
"ZNF260",0.68
"ZNF546",0.42
"MYPOP",0.42
"NANOS2",0.23
"LOC339352",0.34
"ADAMTSL5",0.49
"CLEC4G",0.26
"LINGO4",0.32
"FLG-AS1",0.54
"RXFP4",0.22
"ANKRD45",0.38
"LINC01343",0.27
"C1orf174",0.69
"KLHL17",0.61
"TMEM240",0.2
"TMEM52",0.47
"ERVMER61-1",0.18
"BRINP3",0.37
"MTMR9LP",0.23
"ZBTB8OS",0.84
"TFAP2E",0.21
"ZNF678",0.65
"PRSS38",0.26
"LINC01141",0.2
"CCDC190",0.25
"FAM58BP",0.18
"LINC01140",0.54
"LOC339529",0.12
"LINC01139",0.23
"LOC339539",0.27
"C1orf228",0.49
"ZFP69",0.32
"IGKV1OR2-118",0.24
"LOC339568",0.29
"LOC339593",0.21
"LOC339622",0.17
"SLC35E4",0.58
"LOC339666",0.28
"TEX33",0.56
"LINC00634",0.28
"LOC339685",0.2
"AK2P2",0.1
"SPOPL",0.73
"MLK7-AS1",0.23
"CYP27C1",0.33
"MROH2A",0.27
"ESPNL",0.37
"C2orf70",0.28
"PRR30",0.44
"LINC00298",0.27
"LINC00299",0.29
"EIF3FP3",0.1
"LOC339803",0.58
"C2orf74",0.31
"LOC339807",0.19
"LINC01115",0.19
"CCDC39",0.42
"CCDC36",0.27
"KY",0.7
"LOC339862",0.18
"LOC339874",0.19
"ALG1L6P",0.13
"C3orf35",0.55
"LINC00880",0.31
"GADL1",0.26
"PRSS42",0.18
"EHHADH-AS1",0.13
"LPP-AS2",0.44
"H1FX-AS1",0.19
"CCDC158",0.51
"TMPRSS11A",0.21
"GCOM2",0.11
"LOC339975",0.17
"TRIML1",0.26
"LRRC66",0.21
"NAT8L",0.29
"LOC340017",0.18
"SLC6A19",0.43
"PRR7-AS1",0.2
"TMEM173",0.78
"FAM170A",0.26
"C5orf66-AS2",0.38
"LOC340074",0.18
"ARSI",0.55
"LOC340085",0.23
"LINC01020",0.17
"H3.X",0.19
"LOC340107",0.27
"LOC340113",0.18
"ANKRD34B",0.26
"SLC35D3",0.47
"ZC3H12D",0.25
"MYLK4",0.22
"DPPA5",0.44
"LOC340178",0.58
"LOC340184",0.22
"IFITM4P",0.18
"CLPSL1",0.16
"TREML1",0.29
"TREML3P",0.31
"ZNF680",0.63
"UNCX",0.2
"COL28A1",0.43
"LOC340268",0.1
"ABCB5",0.49
"FAM221A",0.57
"FAM183BP",0.13
"CTAGE6",0.27
"LOC340335",0.16
"TSPAN33",0.72
"AGBL3",0.41
"LOC340357",0.2
"KLHL38",0.13
"NRBP2",0.7
"ZNF517",0.31
"WDR97",0.54
"TMEM249",0.18
"RSPO2",0.57
"POTEA",0.22
"KRT18P24",0.1
"ZDHHC21",0.6
"ACER2",0.35
"GAS2L1P2",0.19
"LOC340512",0.13
"LINC01501",0.26
"RGAG4",0.24
"NHSL2",0.23
"PABPC1L2A",0.16
"KIAA2022",0.58
"BEX5",0.54
"TCEAL5",0.24
"MORF4L2-AS1",0.39
"VSIG1",0.53
"ZC3H12B",0.59
"SATL1",0.33
"DCAF12L2",0.23
"CA5BP1",0.57
"ZCCHC16",0.18
"LHFPL1",0.55
"CXorf67",0.21
"FAM41AY1",0.18
"LIPM",0.2
"CYP26C1",0.28
"VWA2",0.2
"NANOS1",0.69
"LRIT2",0.16
"HMX3",0.18
"AKR1C8P",0.13
"AKR1B10P1",0.11
"MALRD1",0.17
"EBLN1",0.17
"EIF3LP3",0.22
"OR52B6",0.27
"OTOG",0.19
"DCDC1",0.25
"C11orf53",0.25
"WARSP1",0.13
"MS4A10",0.2
"OR7E1P",0.11
"OR2AT4",0.14
"HEPHL1",0.16
"OR10A2",0.16
"OVCH2",0.22
"HNRNPA1P70",0.1
"SMCO2",0.23
"OVCH1",0.24
"SYT10",0.18
"LOC341378",0.1
"ACSM4",0.18
"ANKRD33",0.46
"OR6C2",0.15
"OR6C4",0.2
"PPIAP8",0.1
"RPL23AP14",0.1
"H1FNT",0.48
"OR8S1",0.2
"RPL35P7",0.1
"FREM2",0.63
"NEK5",0.18
"MRPS31P2",0.11
"OR6S1",0.21
"SLC35F4",0.48
"LRRC9",0.13
"COX8C",0.41
"GLDN",0.59
"GOLGA6A",0.23
"TMC3",0.15
"ZNF774",0.21
"FMN1",0.54
"LOC342293",0.16
"C16orf96",0.23
"ZKSCAN2",0.58
"CYCSP39",0.11
"ATXN1L",0.85
"PKD1L3",0.2
"ZNF720P1",0.1
"LOC342443",0.1
"CD300E",0.19
"SMTNL2",0.74
"NACA2",0.24
"LOC342541",0.18
"KRT27",0.44
"SLFN14",0.18
"LRRC37A11P",0.12
"STAC2",0.56
"RPS2P6",0.1
"ANKRD62",0.2
"VSTM2B",0.19
"ZNF850",0.23
"NCCRP1",0.19
"SYCN",0.45
"LEUTX",0.22
"ZNF404",0.5
"ZNF284",0.57
"C19orf81",0.38
"ZNF677",0.63
"RFPL4A",0.21
"ZSCAN5B",0.15
"ZSCAN22",0.51
"NANOS3",0.49
"PALM3",0.45
"RD3",0.47
"LOC343052",0.1
"AADACL4",0.2
"PRAMEF5",0.16
"HNRNPCL1",0.21
"PRAMEF9",0.12
"PRAMEF10",0.28
"CCDC18",0.72
"OR6F1",0.16
"OR14K1",0.12
"OR2W3",0.28
"OR2T8",0.2
"OR2T3",0.14
"MYBPHL",0.33
"OR10R2",0.23
"FCRL6",0.23
"KCNT2",0.6
"BARHL2",0.24
"HSP90B3P",0.13
"NBPF7",0.2
"TCTEX1D4",0.26
"OR2T29",0.15
"ARHGAP40",0.43
"RSPO4",0.36
"TGM6",0.23
"XKR7",0.4
"MSGN1",0.2
"KIAA1211L",0.4
"FIGLA",0.2
"NOTO",0.23
"LOC344065",0.23
"NCKAP5",0.55
"FOXI3",0.1
"EVX2",0.18
"KRT8P10",0.1
"LOC344382",0.16
"CDKL4",0.21
"PRORSD1P",0.23
"AOX2P",0.18
"SH3RF3",0.63
"GPR148",0.18
"LOC344593",0.11
"DUBR",0.69
"LRRIQ4",0.18
"SAMD7",0.24
"OR7E140P",0.12
"HNRNPA1P20",0.1
"AADACL2",0.44
"GPR149",0.23
"VN2R1P",0.11
"ZNF860",0.17
"TMPRSS7",0.14
"CD200R1L",0.14
"PAQR9",0.34
"COL6A4P1",0.13
"LOC344887",0.33
"RTP2",0.19
"OSTN",0.2
"ATP13A5",0.4
"LOC344967",0.13
"SAR1AP3",0.13
"PRSS48",0.21
"SOWAHB",0.19
"LRIT3",0.19
"MSANTD1",0.21
"BIN2P1",0.1
"SLC10A6",0.22
"HSD17B13",0.33
"PFN3",0.16
"ZNF879",0.66
"PLCXD3",0.68
"IRGM",0.23
"FBLL1",0.22
"MCIDAS",0.12
"PSMC1P4",0.1
"ACTBL2",0.22
"FAM174A",0.77
"MTX3",0.51
"RSPH4A",0.43
"ECT2L",0.19
"EYS",0.22
"ZNF391",0.25
"ZFP57",0.53
"SEPT14",0.16
"LOC346329",0.14
"MACC1",0.68
"OR6V1",0.22
"OR2A12",0.19
"OR2A1",0.17
"ERVFC1-1",0.19
"GNAT3",0.16
"MOGAT3",0.24
"FAM71F2",0.51
"STRA8",0.22
"KLRG2",0.62
"OR7E8P",0.12
"SLC10A5",0.21
"ADGRD2",0.17
"LOC347097",0.1
"SPATA31D5P",0.24
"QRFP",0.2
"OR1J1",0.22
"OR1B1",0.26
"KIF24",0.32
"IGFBPL1",0.58
"KRT8P11",0.22
"MURC",0.59
"TOPORSLP1",0.1
"ZNF81",0.53
"BMP2KL",0.12
"KIF4CP",0.1
"ITIH6",0.49
"H3F3AP5",0.22
"NLRP3P",0.54
"LANCL3",0.2
"MPC1L",0.35
"LOC347422",0.11
"DCAF8L2",0.19
"SOWAHD",0.21
"OR13H1",0.19
"CCDC160",0.19
"CXorf66",0.21
"RPL7L1P11",0.1
"DGAT2L6",0.2
"RAB41",0.22
"ARSH",0.19
"MAGEB5",0.18
"CENPVP3",0.19
"SNORD64",0.13
"GNG5P2",0.11
"TUBB8",0.19
"SOX2-OT",0.61
"ECEL1P2",0.12
"MRPS36P6",0.1
"LRRTM1",0.52
"LRRTM3",0.33
"CATSPER3",0.49
"TUBB2B",0.59
"SLC35B2",0.71
"SERINC2",0.79
"NME9",0.6
"OTOP3",0.22
"C6orf52",0.71
"PWAR4",0.15
"PWARSN",0.17
"TBX10",0.45
"PDDC1",0.62
"AMIGO2",0.71
"EP400NL",0.52
"TMEM255B",0.5
"LINC00442",0.17
"MGC40069",0.61
"RBPMS2",0.56
"ANKDD1A",0.68
"ARPIN",0.32
"LINC01193",0.53
"ACSM2B",0.45
"LOC348162",0.11
"CLEC18A",0.27
"CTU2",0.68
"SKA2",0.88
"CCL15-CCL14",0.1
"CCDC144CP",0.22
"FAM195B",0.32
"SELV",0.22
"ZNF530",0.32
"FAM159A",0.6
"FAM131C",0.44
"C22orf34",0.37
"GEN1",0.83
"C2orf48",0.27
"FTCDNL1",0.48
"SPATA3-AS1",0.45
"WDR53",0.62
"LNP1",0.28
"CFAP100",0.41
"NPHP3-AS1",0.15
"TPRXL",0.57
"ANKRD18DP",0.3
"FAM86EP",0.14
"SLC6A18",0.43
"NIPAL4",0.57
"HCN1",0.25
"NUP43",0.68
"ZNF713",0.21
"LINC00265",0.21
"WDR86",0.47
"GJC3",0.23
"DPY19L2P2",0.46
"LOC349160",0.39
"LINC00965",0.16
"CYCSP3",0.23
"FOXD4L4",0.2
"CYCSP44",0.23
"TLR8-AS1",0.27
"NMNAT3",0.48
"PLET1",0.13
"RTN4RL2",0.51
"GPR142",0.18
"MRPS23P1",0.11
"DNAAF3",0.3
"GATS",0.74
"HCG26",0.23
"HCP5B",0.16
"C6orf58",0.47
"ZNF429",0.27
"RAET1G",0.15
"RILPL1",0.7
"LCE1A",0.21
"LCE1B",0.26
"LCE1C",0.28
"LCE1D",0.23
"LCE1E",0.27
"LCE1F",0.22
"LCE2A",0.22
"LCE2C",0.2
"LCE2D",0.2
"LCE3A",0.25
"LCE3B",0.21
"LCE3C",0.2
"LCE3E",0.18
"TBC1D26",0.58
"TAS2R42",0.21
"ZACN",0.22
"SLCO4C1",0.3
"KAAG1",0.46
"PADI6",0.2
"ZNF445",0.51
"KRT26",0.19
"RGSL1",0.22
"ANKRD37",0.52
"KRTAP12-2",0.24
"SPATA12",0.42
"KRTAP12-1",0.27
"KRTAP10-10",0.24
"GPR141",0.21
"ZNF233",0.48
"TICAM2",0.75
"POLN",0.46
"BMP8A",0.38
"VCY1B",0.2
"LILRA5",0.28
"XKRY2",0.18
"BPIFB3",0.37
"MRPL15P1",0.1
"MRPL30P1",0.1
"MRPS10P1",0.11
"MRPS17P9",0.11
"MRPS18BP1",0.1
"MRPS21P3",0.1
"DPPA3",0.44
"MRPL42P5",0.19
"KCNIP4-IT1",0.12
"FAM101B",0.64
"IRF2BP2",0.83
"IFNWP18",0.11
"PSIP1P2",0.19
"ZBTB41",0.76
"NANOGNB",0.22
"FKBP9P1",0.14
"CYCSP52",0.17
"CYCSP5",0.1
"NDUFA4P1",0.1
"CYCSP16",0.12
"CYCSP24",0.11
"CYCSP29",0.11
"CYCSP32",0.1
"TMPRSS9",0.23
"GLT6D1",0.21
"PRAC2",0.53
"GCRG224",0.13
"PRSS41",0.14
"OTUD4P1",0.1
"GSTK1",0.76
"USP50",0.21
"USP41",0.21
"HILS1",0.43
"DND1",0.27
"CDRT1",0.4
"NDUFS7",0.63
"PTCHD3",0.16
"NHLRC2",0.72
"CCDC172",0.27
"GALNT18",0.75
"NCR3LG1",0.14
"DKFZp779M0652",0.45
"FAM111B",0.36
"TMEM179B",0.49
"TBC1D10C",0.54
"DNAJB13",0.62
"LOC374443",0.51
"KRT77",0.51
"PTPRQ",0.27
"C12orf42",0.56
"TPTE2P6",0.62
"THSD1P1",0.5
"ASPG",0.21
"TEX9",0.59
"GOLGA6L5P",0.31
"KIF7",0.54
"ZNF710",0.7
"HDDC3",0.74
"WASH3P",0.67
"WASH4P",0.1
"TEPP",0.58
"SPEM1",0.43
"EFCAB5",0.26
"LRRC37A3",0.55
"ANKRD30B",0.21
"CCDC178",0.3
"ATP9B",0.59
"C19orf35",0.26
"HSD11B1L",0.67
"C19orf45",0.54
"ZNF699",0.17
"TMEM205",0.83
"YJEFN3",0.44
"SBSN",0.5
"ZNF829",0.6
"ZNF568",0.35
"B3GNT8",0.57
"IGFL1",0.55
"C19orf68",0.22
"ZNF773",0.34
"DRAXIN",0.37
"SPATA21",0.25
"SVBP",0.46
"TEX38",0.23
"MROH7",0.27
"FAM73A",0.81
"NEXN-AS1",0.19
"PEAR1",0.52
"SFT2D2",0.43
"MIA3",0.76
"C1orf95",0.58
"FAM89A",0.78
"PI4KAP2",0.24
"PFN4",0.27
"FAM228B",0.55
"LOC375196",0.19
"ANKRD36",0.23
"WASH2P",0.64
"RBM43",0.6
"LINC01116",0.64
"CERKL",0.45
"CATIP",0.25
"RBM44",0.2
"AQP12A",0.22
"LHFPL4",0.61
"TOPAZ1",0.17
"C3orf62",0.68
"TMEM110",0.48
"NRROS",0.63
"C5orf34",0.71
"MAST4",0.85
"SIMC1",0.76
"GUSBP4",0.4
"GJB7",0.51
"VWC2",0.22
"TRIM73",0.33
"OR7E31P",0.11
"NAT16",0.26
"SLC26A5",0.2
"LHFPL3",0.55
"KCP",0.24
"SPATC1",0.45
"WASH5P",0.28
"ENHO",0.46
"AQP7P1",0.17
"PTAR1",0.62
"ERCC6L2",0.61
"SWI5",0.72
"C9orf50",0.45
"PNPLA7",0.38
"AGRN",0.66
"CYSRT1",0.39
"RBMY2BP",0.15
"DMBT1P1",0.13
"LRRC10",0.22
"RAB15",0.45
"RNF126P1",0.22
"SLC27A1",0.67
"RPS10P7",0.17
"SDC4P",0.13
"ZC3H6",0.67
"KLHL30",0.28
"PRSS45",0.3
"USP17L2",0.18
"CA13",0.54
"ENTPD8",0.25
"TRIM74",0.32
"RN7SL2",0.12
"APITD1",0.45
"LINC-PINT",0.52
"CATSPER4",0.27
"RPL37P4",0.12
"LINC00162",0.2
"LINC00317",0.19
"COL18A1-AS1",0.19
"NHLRC1",0.24
"RNF148",0.56
"MALAT1",0.89
"RBMY1B",0.12
"RBMY1D",0.14
"RBMY1E",0.18
"RBMY1J",0.19
"RBMY2OP",0.33
"RBMY2VP",0.3
"RNF138P1",0.14
"PSMA3-AS1",0.69
"CHKB-CPT1B",0.11
"RNF144A-AS1",0.23
"ZFP91-CNTF",0.23
"RNASEH2CP1",0.22
"KCTD8",0.21
"KCTD4",0.51
"SAP30L-AS1",0.17
"IL31",0.16
"AURKAPS2",0.1
"KRTAP10-4",0.16
"KRTAP10-6",0.2
"KRTAP10-7",0.14
"KRTAP10-9",0.19
"KRTAP10-1",0.16
"KRTAP10-11",0.29
"KRTAP10-2",0.18
"KRTAP10-5",0.16
"KRTAP10-8",0.16
"KRTAP10-3",0.12
"KRTAP12-3",0.19
"KRTAP12-4",0.26
"KRTAP10-12",0.49
"AMIGO3",0.66
"MRGPRG",0.14
"SLC6A10P",0.45
"ZNF582-AS1",0.48
"ZKSCAN4",0.5
"GUSBP2",0.17
"RPL13P",0.1
"SNHG5",0.54
"FAM136BP",0.11
"SUMO4",0.32
"RPL36AP5",0.11
"RPL29P4",0.41
"CENPW",0.86
"SOGA3",0.49
"LINC00222",0.31
"CEP85L",0.54
"NPSR1",0.23
"SLC7A5P2",0.16
"C6orf120",0.69
"KRTAP5-1",0.16
"KRTAP5-3",0.2
"KRTAP5-4",0.15
"KRTAP5-10",0.14
"ZNF322P1",0.41
"TBPL2",0.29
"NSUN4",0.8
"THEMIS",0.23
"LINC00320",0.31
"RASL11A",0.57
"GPR153",0.62
"TMEM189",0.77
"TMEM189-UBE2V1",0.58
"DNM1P18",0.11
"DNM1P19",0.11
"TPTEP1",0.74
"ILDR2",0.27
"SLC22A25",0.38
"KGFLP1",0.26
"C10orf113",0.34
"SKIDA1",0.21
"LINC00202-1",0.48
"LRRC37A6P",0.17
"PTCHD3P1",0.68
"FAM21A",0.53
"SH2D4B",0.22
"C10orf99",0.61
"SLC16A12",0.23
"XRCC6P1",0.1
"CC2D2B",0.39
"ENO4",0.23
"ARMS2",0.19
"TEX36",0.48
"LOC387720",0.11
"LINC00959",0.56
"IFITM5",0.3
"FAM99A",0.11
"FAM86GP",0.56
"OR56B1",0.22
"GVINP1",0.32
"RPL21P97",0.1
"INSC",0.57
"FIBIN",0.56
"C11orf96",0.12
"SLC22A10",0.17
"SPDYC",0.21
"LIPT2",0.11
"VSTM5",0.14
"LOC387820",0.14
"CLEC2A",0.12
"CLEC12B",0.41
"RPL13AP20",0.11
"REP15",0.34
"CCDC184",0.34
"C12orf75",0.75
"CFAP73",0.18
"TMEM233",0.12
"SETD8",0.72
"LINC00944",0.46
"C1QTNF9B",0.14
"SHISA2",0.53
"NHLRC3",0.73
"SERP2",0.35
"FABP5P1",0.1
"LINC01551",0.48
"TOMM20L",0.15
"SERPINA13P",0.14
"LINC01550",0.22
"RTL1",0.14
"TMEM179",0.41
"RPS8P10",0.17
"IGHV1OR15-1",0.12
"NANOGP8",0.2
"C15orf52",0.68
"TNFAIP8L3",0.16
"RPSAP55",0.1
"C2CD4B",0.41
"RPL17P5",0.11
"C15orf59",0.23
"GOLGA2P7",0.6
"UBE2Q2P1",0.11
"FAM149B1P1",0.1
"SPATA41",0.3
"PRR25",0.2
"SBK1",0.59
"LOC388242",0.15
"C16orf87",0.3
"C16orf97",0.15
"LOC388282",0.11
"C16orf86",0.51
"C16orf47",0.11
"GLTPD2",0.45
"INCA1",0.16
"SCIMP",0.25
"C17orf100",0.66
"SPDYE4",0.14
"TMEM220",0.31
"SHISA6",0.16
"LRRC75A",0.51
"TMIGD1",0.25
"CCL4L1",0.18
"C17orf98",0.2
"LINC00671",0.2
"CCDC103",0.56
"RPRML",0.25
"YPEL2",0.61
"LOC388406",0.17
"C17orf82",0.23
"BTBD17",0.19
"AATK-AS1",0.11
"FLJ12120",0.37
"LOC388456",0.22
"POTEC",0.14
"C3P1",0.22
"ZNF788",0.46
"CLEC17A",0.16
"CYP4F24P",0.1
"ZNF728",0.12
"RPSAP58",0.12
"RGS9BP",0.26
"RPL21P131",0.1
"KRTDAP",0.6
"ZNF790",0.33
"CEACAM22P",0.2
"CEACAM16",0.15
"BLOC1S3",0.64
"BHMG1",0.39
"IGFL3",0.29
"ZNF808",0.19
"ZNF888",0.1
"ERVFRD-2",0.11
"ZNF761",0.24
"TMEM238",0.54
"ZNF470",0.33
"ZNF749",0.23
"ZNF324B",0.44
"RPL23AP87",0.11
"FAM132A",0.44
"HES5",0.45
"SMIM1",0.38
"RNF207",0.63
"TMEM82",0.18
"HS6ST1P1",0.11
"TRNP1",0.27
"CD164L2",0.17
"TRABD2B",0.35
"LDLRAD1",0.22
"GBP7",0.16
"C1orf146",0.2
"FAM69A",0.55
"SLC6A17",0.46
"NOTCH2NL",0.73
"LINC01138",0.24
"LOC388692",0.6
"LYSMD1",0.66
"HRNR",0.16
"FLG2",0.4
"C1orf189",0.26
"FMO6P",0.39
"LINC00272",0.12
"C1orf53",0.44
"TMEM81",0.25
"CAPN8",0.33
"COA6",0.84
"C1orf229",0.16
"OR14A2",0.13
"OR2M1P",0.13
"LOC388780",0.42
"LINC00493",0.85
"EFCAB8",0.25
"SNHG17",0.6
"FAM209B",0.49
"LOC388813",0.19
"MIR99AHG",0.57
"KRTAP26-1",0.35
"LINC00316",0.13
"CCDC188",0.24
"LOC388882",0.19
"RPS10P29",0.1
"LRRC75B",0.64
"OGFRP1",0.18
"LINC00207",0.11
"MFSD2B",0.17
"C2orf71",0.22
"LOC388942",0.23
"TMEM247",0.29
